oare_id,source_transliteration,target_translation_english,source_pdf,source_page,stage1_match_source,stage1_match_confidence,stage2_confidence,language_detected,llm_opinion,akkadian_from_page_text,evidence,notes,pair_index,input_key
19c65b92-4eb3-4ae2-a9e9-3e7651a68f0b,"In the case of many families, we can see that the father, sitting in Assur, ran the affairs of the firm—Assur-idi is an example, but other arrangements were possible.","In the case of many families, we can see that the father, sitting in Assur, ran the affairs of the firm—Assur-idi is an example, but other arrangements were possible.","(OCR) JCS 59, 2007, pp. 93-106 - Larsen, Mogens T. - Individual and Family in Old Assyrian Society.pdf",7,page_text_ref,0.82,0.82,en,"This page is useful for understanding the social structure of Old Assyrian society, but it may not be directly relevant to the tablet's content.",,"The page text contains a translation of the tablet's content, but it is not directly relevant to the tablet's content.","The page text is a translation of the tablet's content, but it is not directly relevant to the tablet's content.",0,"(OCR) JCS 59, 2007, pp. 93-106 - Larsen, Mogens T. - Individual and Family in Old Assyrian Society.pdf||7||19c65b92-4eb3-4ae2-a9e9-3e7651a68f0b"
b2c4d6aa-2639-45af-b7f4-f8a042a7e50e,"Gdllâbum'un Uşur-ii-htar'a, onun talimatı gereğince kumaşları seçtiklerini belirterek
başladığı mektubudur.","Gallabum wrote to Ušur-ii-hter, stating that they had chosen the fabrics according to his instructions.","AKT 2, 1995.pdf",82,page_text_ref,0.82,0.82,tr,"This page is partially useful for the tablet, but it contains a lot of extraneous information.",a-na ú-ṣur-ša-a-šur qí-bi-ma um-ma DINGIR-i-dí-ma,page_text_ref,"The page contains a translation of the tablet, but it is not entirely reliable due to the presence of extraneous information.",0,"AKT 2, 1995.pdf||82||b2c4d6aa-2639-45af-b7f4-f8a042a7e50e"
60ce4409-fca1-3cf6-443b-5be3f82fe6c5,"Gdllâbum'un Uşur-ii-htar'a, onun talimatı gereğince kumaşları seçtiklerini belirterek
başladığı mektubudur.","Gallabum's letter to Ušur-ii-hter, starting with the statement that they have chosen the fabrics according to his instructions.","AKT 2, 1995.pdf",82,page_text_ref,0.82,0.82,tr,"This page is partially useful for the tablet, but it's mostly a commentary and not a direct translation.",a-na a-šùr-i-dí qí-bi4-ma um-ma a-šùr-na-da-ma,page_text_ref,"The page contains a commentary on the tablet, but it's not a direct translation.",0,"AKT 2, 1995.pdf||82||60ce4409-fca1-3cf6-443b-5be3f82fe6c5"
0e506705-b38e-4481-accf-397b5f66489d,"Iküppia'nın Uyur-si-Îstar'a, onun kendine 10 mina gümüşü göndermesi isteğine karşı,","Iküppia wrote to Uyur-si-Îstar, saying that he sent 10 minas of silver to himself in response to her request.","AKT 2, 1995.pdf",87,page_text_ref,0.82,0.82,tr|en|other,"This page is partially useful for the tablet, but the translation is not entirely reliable.",a-na -şur-si-[Istar qi-bi-ma],"The page text contains a translation of the tablet, but it is not entirely reliable due to the presence of Turkish and other languages.","The page text is a translation of the tablet, but it is not entirely reliable due to the presence of Turkish and other languages.",0,"AKT 2, 1995.pdf||87||0e506705-b38e-4481-accf-397b5f66489d"
a46c7b98-338b-8597-e4e0-31412798bd13,"Uşur-sa-Istar'in vergiden kurtulmak için gizli olarak etirilen malları arasında kendi-ninkilerinin bulunmadığını belirterek, kumaşlarının er ek yerini söylemesi hususunda Hunnia ya ricada bulunmaktadır.","Ušur-sa-Istar says that her own goods are not among the goods that were secretly taken for tax purposes, and she asks Hunnia to tell her about the place of her own goods.","AKT 2, 1995.pdf",100,page_text_ref,0.82,0.82,tr|en,"This page is somewhat useful for the translation of the tablet, but it is not a direct translation. It provides some context and information about the tablet, but it is not a reliable source for the translation itself.",ina raménim | ni-ki-ils-Su-ma | nakälum,"The page text contains a translation of the tablet, but it is not a direct translation. It provides some context and information about the tablet, but it is not a reliable source for the translation itself.","The page text is in Turkish, but it also contains some English phrases. The translation provided is not a direct translation, but rather a summary of the content of the tablet.",0,"AKT 2, 1995.pdf||100||a46c7b98-338b-8597-e4e0-31412798bd13"
dc04a250-37cf-497b-909d-7896bbc1970d,sik gümüşü kadın kölenin adına verdik.,We gave to the female slave in silver.,"AKT 2, 1995.pdf",36,page_text_ref,0.82,0.82,tr,"This page is partially useful for translation, but it contains a lot of extraneous information.",şa'ûdum | şâdu II | şâdu B | isertum III | isaru,page_text_ref,"The page contains a translation of the tablet, but it is not a direct translation. It is a commentary on the tablet and its contents.",0,"AKT 2, 1995.pdf||36||dc04a250-37cf-497b-909d-7896bbc1970d"
dc04a250-37cf-497b-909d-7896bbc1970d,"16- ı91/2 mina 3 3/4 segel gümüş ya eritilme esnasın-
da ya da normâl/tabiî şartlardan dolayi azaldı.","16- 91/2 mina 3 3/4 shekel silver, either during the time of melting or due to the normal/ usual conditions it decreased.","AKT 2, 1995.pdf",36,page_text_ref,0.82,0.82,tr,"This page is partially useful for translation, but it contains a lot of extraneous information.",şa'ûdum | şâdu II | şâdu B | isertum III | isaru,page_text_ref,"The page contains a translation of the tablet, but it is not a direct translation. It is a commentary on the tablet and its contents.",1,"AKT 2, 1995.pdf||36||dc04a250-37cf-497b-909d-7896bbc1970d"
0600be70-a772-42b5-8a4c-13dfd9f1bce9,sik gümüşü kadın kölenin adına verdik.,We gave to the female slave in the name of silver.,"AKT 2, 1995.pdf",36,page_text_ref,0.82,0.82,tr,"This page is partially useful for translation purposes, but it contains a lot of extraneous information.",lu i-na i-ší-ra-tim | lu i-na ṣa-ú-dim | i-sé-ra-tim | şa'ûdum,"The page contains a translation of the tablet, but it is not a direct translation. The translation is in Turkish, and it is partially useful for translation purposes.","The page contains a lot of extraneous information, but it is still useful for translation purposes.",0,"AKT 2, 1995.pdf||36||0600be70-a772-42b5-8a4c-13dfd9f1bce9"
0600be70-a772-42b5-8a4c-13dfd9f1bce9,"16- ı91/2 mina 3 3/4 segel gümüş ya eritilme esnasın-
da ya da normâl/tabiî şartlardan dolayi azaldı.",16 - 91/2 mina 3 3/4 shekel silver either during the melting process or due to normal/ natural conditions it decreased.,"AKT 2, 1995.pdf",36,page_text_ref,0.82,0.82,tr,"This page is partially useful for translation purposes, but it contains a lot of extraneous information.",lu i-na i-ší-ra-tim | lu i-na ṣa-ú-dim | i-sé-ra-tim | şa'ûdum,"The page contains a translation of the tablet, but it is not a direct translation. The translation is in Turkish, and it is partially useful for translation purposes.","The page contains a lot of extraneous information, but it is still useful for translation purposes.",1,"AKT 2, 1995.pdf||36||0600be70-a772-42b5-8a4c-13dfd9f1bce9"
948bb1a8-849d-4802-aa93-6423f55fc2fe,"Kanii'te ortaya çikan, fakat orada hâlledilemediği anlaşılan bir dâvâda, Asur şehir mec-lisinin almiş olduğu karari kaydeden metne göre:","In a case that emerged in Kani, but was not resolved there, the decision of the Asur city council, as recorded in the text, is as follows:","AKT 2, 1995.pdf",57,page_text_ref,0.82,0.82,tr|en,This page is very useful for understanding the context of the tablet.,"Kt n/k 560;165-560-64;4,9 x 5, 9 x 1,9 cm.; kahverenkli tablet. | waklum kelimesinin mânâsına açıklık getiren","The page text contains a translation of the tablet, and the translation is mostly in Turkish, with some English phrases.","The page text also contains some Akkadian/transliteration-like sentence fragments, such as 'Kt n/k 560;165-560-64;4,9 x 5, 9 x 1,9 cm.; kahverenkli tablet.' and 'waklum kelimesinin mânâsına açıklık getiren'.",0,"AKT 2, 1995.pdf||57||948bb1a8-849d-4802-aa93-6423f55fc2fe"
