text_uuid,sentence_uuid,sentence_obj_in_text,line_number,first_word_transcription,first_word_transcription_clean,translation,translation_clean,split,provenance,trust_weight
871e7671-e26b-4808-9acb-1c4a7e1ed2e6,f98879ad-d891-4602-8443-965baab6845d,3,1.0,,,Seal: trading station of Šalatiwar.,Seal: trading station of Šalatiwar.,train,gold_sentence_targets,1.0
09260971-37a9-4b91-aa30-ff59322598e5,e3444ecf-0276-4e5a-90cb-1e08e9d9f65e,3,1.0,,,From Imdī-ilum to Luzina and Puzur-Ištar:,From Imdī-ilum to Luzina and Puzur-Ištar:,train,gold_sentence_targets,1.0
a5abb045-e25a-469a-90b3-89a49091b7be,cb7f723d-6e52-454d-8ca2-50863cab81cb,10,3.0,qibima,qibima,"To the representatives Aššur-imittī, Imdī-ilum, and Buṣia from Idnāya.","To the representatives Aššur-imittī, Imdī-ilum, and Buṣia from Idnāya.",train,gold_sentence_targets,1.0
a5abb045-e25a-469a-90b3-89a49091b7be,5dc308e4-1033-4200-8b8b-6626d155539c,20,6.0,Ilī-uṣranni,Ilī-uṣranni,Ilī-uṣranni brings you 10 minas refined silver.,Ilī-uṣranni brings you 10 minas refined silver.,train,gold_sentence_targets,1.0
a5abb045-e25a-469a-90b3-89a49091b7be,49ae0d28-4916-4744-b316-607432f9b091,23,8.0,ana,ana,Weigh it out to the one you recorded as my guarantor.,Weigh it out to the one you recorded as my guarantor.,train,gold_sentence_targets,1.0
9b2f4308-d239-45da-ba91-0f4735c95545,124a7b08-3c57-4949-8e63-0c44f67a96e1,9,2.0,ana,ana,Innaya s. Amura gave Kurara s. Abu-šalim 5 minas refined silver as an ebuṭṭum loan.,Innaya s. Amura gave Kurara s. Abu-šalim 5 minas refined silver as an ebuṭṭum loan.,train,gold_sentence_targets,1.0
9b2f4308-d239-45da-ba91-0f4735c95545,059dfa01-e504-433d-8106-7edaf6560bbb,27,6.0,illakma,illakma,He will go and Innāya will not be considered equal with his investors in the tablet of his ebuṭṭum loan in the city.,He will go and Innāya will not be considered equal with his investors in the tablet of his ebuṭṭum loan in the city.,train,gold_sentence_targets,1.0
9b2f4308-d239-45da-ba91-0f4735c95545,94b98140-b07d-4895-9340-edf437ba2100,48,13.0,maḫar,mahar,"Witnesses: Šū-Laban s. Dān-ilī, Bazia s. Ilī-Kurub.","Witnesses: Šū-Laban s. Dān-ilī, Bazia s. Ilī-Kurub.",train,gold_sentence_targets,1.0
9bdc7305-55f6-4d9b-8d11-fb1a07993ed4,33765d3a-7edb-4763-8c41-3c564b883121,9,2.0,iṣṣēr,iṣṣēr,Šamaš-bāni and Aššur-mālik owe Šāt-Adad 1 mina refined silver.,Šamaš-bāni and Aššur-mālik owe Šāt-Adad 1 mina refined silver.,train,gold_sentence_targets,1.0
9bdc7305-55f6-4d9b-8d11-fb1a07993ed4,e516f266-c4a6-4641-a73a-41759fd63530,26,8.0,išaqqulū,išaqqulū,They will pay six weeks from the of Ikūn-piā.,They will pay six weeks from the of Ikūn-piā.,train,gold_sentence_targets,1.0
9bdc7305-55f6-4d9b-8d11-fb1a07993ed4,223ba3f0-e1c3-4ac4-b391-a2d3173c1daf,36,12.0,uṣṣubū,uṣṣubū,"If they do not pay, they will add interest at the colony rate.","If they do not pay, they will add interest at the colony rate.",train,gold_sentence_targets,1.0
25f3a0b1-7766-4c48-af4f-0d1e3da2115b,a394ca96-c0e0-4419-9bab-eb13f9b0f4a9,2,1.0,umma,umma,From Šalim-aḫum to Pūšu-kēn and Dān-Aššur:,From Šalim-aḫum to Pūšu-kēn and Dān-Aššur:,train,gold_sentence_targets,1.0
25f3a0b1-7766-4c48-af4f-0d1e3da2115b,2c4ac849-e306-4a0d-9763-2fbadf24f6f2,15,3.0,kutānū,kutānū,"112 kutānum textiles, 18 minas hand tin, four black donkeys and their gear, 1 shekels silver for a textile  of saitim, the wage of the drivers satisfied-Idī-Suen brings all this to you (pl.) under my seal.","112 kutānum textiles, 18 minas hand tin, four black donkeys and their gear, 1 shekels silver for a textile of saitim, the wage of the drivers satisfied-Idī-Suen brings all this to you (pl.) under my seal.",train,gold_sentence_targets,1.0
25f3a0b1-7766-4c48-af4f-0d1e3da2115b,eb0e501a-a7ab-4690-be7f-3be75358863a,52,12.0,warkat,warkat,"After these textiles, I will send you as much tin as I can ship, and my instructions will come to you.","After these textiles, I will send you as much tin as I can ship, and my instructions will come to you.",train,gold_sentence_targets,1.0
807d2a37-5ec2-46c4-9d94-e1228a852e97,e1a34bb7-b2a1-45e2-81f2-871695f561e9,27,8.0,aṭḫe,aṭhe,"I handed over 56 shekels silver, the price of 4 kutānum textiles, at accountings for 20 minas for the account of Innāya s. Elālī.","I handed over 56 shekels silver, the price of 4 kutānum textiles, at accountings for 20 minas for the account of Innāya s. Elālī.",train,gold_sentence_targets,1.0
807d2a37-5ec2-46c4-9d94-e1228a852e97,90b5c407-0681-4515-ada0-b096c0ea4d70,30,8.0,Innā,Innā,Innāya s. Ammurāya is my witness.,Innāya s. Ammurāya is my witness.,train,gold_sentence_targets,1.0
807d2a37-5ec2-46c4-9d94-e1228a852e97,fe0621f8-3a74-492c-a116-677136868916,38,10.0,aḫamma,ahamma,"Separately, I paid him 14 shekels silver, the price of 1 textile.","Separately, I paid him 14 shekels silver, the price of 1 textile.",train,gold_sentence_targets,1.0
807d2a37-5ec2-46c4-9d94-e1228a852e97,2d04c61d-fe29-4d90-9672-d2ae03f32423,49,13.0,ištēniš,ištēniš,"In total, Innāya s. Elāli owes 1 mina 10 shekels.","In total, Innāya s. Elāli owes 1 mina 10 shekels.",train,gold_sentence_targets,1.0
b6dfff9d-542c-44ba-83ae-d7b8d5d39e69,2f9eadb5-224b-4612-a0ff-f5967c86e5c6,3,1.0,šiqil,šiqil,Ḫalitka s. a-ra-wa-an- owes Lamassī 4 1/2 shekels silver within 3 months.,Ḫalitka s. a-ra-wa-an- owes Lamassī 4 1/2 shekels silver within 3 months.,train,gold_sentence_targets,1.0
b6dfff9d-542c-44ba-83ae-d7b8d5d39e69,dab733cc-984d-4f8b-83d8-9068fa392eca,23,7.0,warḫem,warhem,Month: Maḫur-ilī,Month: Maḫur-ilī,train,gold_sentence_targets,1.0
b6dfff9d-542c-44ba-83ae-d7b8d5d39e69,c5447c85-ac32-40a2-bddc-1878856395cc,27,9.0,līmum,līmum,Year: the year after Šū-Niraḫ,Year: the year after Šū-Niraḫ,train,gold_sentence_targets,1.0
b6dfff9d-542c-44ba-83ae-d7b8d5d39e69,243a3e54-87df-44e2-a79b-a3f337b06c9e,35,11.0,maḫar,mahar,"Witnesses: Aššur-lamassī, Uzuwa, Inar, Ḫappi-aḫšu","Witnesses: Aššur-lamassī, Uzuwa, Inar, Ḫappi-aḫšu",train,gold_sentence_targets,1.0
81e51288-2841-4552-b509-7a797fc49d61,689e96ec-ab48-4c45-9faf-2eb33b228d42,19,6.0,iṣṣēr,iṣṣēr,Kunaniya owes Lā-qēpum 1 mina 1 1/2 shekels silver (and) 4 minas fine ḫaburabayyum copper in pieces.,Kunaniya owes Lā-qēpum 1 mina 1 1/2 shekels silver (and) 4 minas fine ḫaburabayyum copper in pieces.,train,gold_sentence_targets,1.0
81e51288-2841-4552-b509-7a797fc49d61,65f83adc-2669-429b-b646-e6d556973e9b,26,9.0,ištu,ištu,He will pay 5 months from the ḫamuštum week of Ikūnum and Puzur-Aššur.,He will pay 5 months from the ḫamuštum week of Ikūnum and Puzur-Aššur.,train,gold_sentence_targets,1.0
81e51288-2841-4552-b509-7a797fc49d61,ab0c1856-7f8d-4fae-96e2-fd8606566771,55,19.0,uṣṣab,uṣṣab,"If he does not pay at the fulfillment of the term, he will add 1 1/2 shekels per mina per month as interest.","If he does not pay at the fulfillment of the term, he will add 1 1/2 shekels per mina per month as interest.",train,gold_sentence_targets,1.0
81e51288-2841-4552-b509-7a797fc49d61,7835ac02-ffef-4cd5-8773-dad72d45a8d8,58,20.0,maḫar,mahar,"Witnesses: Ennum-Aššur, Būr-Ištar.","Witnesses: Ennum-Aššur, Būr-Ištar.",train,gold_sentence_targets,1.0
9715151b-501a-4b99-874f-10eb770c6ae7,ad89ff7d-acd2-4fe2-9e8a-166d5f053436,3,1.0,ana,ana,"To Pūšu-kēn, Innāya, and Kiliya from Šū-Kūbum:","To Pūšu-kēn, Innāya, and Kiliya from Šū-Kūbum:",train,gold_sentence_targets,1.0
9715151b-501a-4b99-874f-10eb770c6ae7,df90307f-67af-4c83-88fc-003e55d8cf88,41,8.0,u,u,"My dear brothers, my share from my m. both to accountings and for cash, all that my partners have deposited, you also have deposited and deposit that which is appropriate for accountings for accountings.","My dear brothers, my share from my m. both to accountings and for cash, all that my partners have deposited, you also have deposited and deposit that which is appropriate for accountings for accountings.",train,gold_sentence_targets,1.0
9715151b-501a-4b99-874f-10eb770c6ae7,ac432f35-402b-4658-977a-f13164fa67d4,64,14.0,kaspam,kaspam,Take that which can be taken as cash as cash in silver and send it to me.,Take that which can be taken as cash as cash in silver and send it to me.,train,gold_sentence_targets,1.0
9715151b-501a-4b99-874f-10eb770c6ae7,20a64afc-4f93-4681-a9fb-13134d914808,81,19.0,ittaddima,ittaddima,"My dear brothers, my share from my m. should be deposited together with that of my partners so that no one drinks water off my back.","My dear brothers, my share from my m. should be deposited together with that of my partners so that no one drinks water off my back.",train,gold_sentence_targets,1.0
9715151b-501a-4b99-874f-10eb770c6ae7,8b272b6c-7345-4e8a-a52a-36f7354304af,94,22.0,ana,ana,Take heed of my instructions.,Take heed of my instructions.,train,gold_sentence_targets,1.0
