sentence_row_id,text_uuid,sentence_uuid,sentence_obj_in_text,line_number,source_sentence_raw,source_sentence_clean,target_sentence,target_sentence_clean,source_start_word_idx,source_end_word_idx_exclusive,boundary_method,source_start_word_idx_raw,source_start_idx_repaired,first_word_transcription,first_word_transcription_clean,first_word_match,split,provenance,trust_weight
0,f352e4ba-65ff-43bf-88ce-8e3e073943be,5d8b787f-911c-44ed-adfa-6da55e7b01d2,3,1.0,ša 2 ma-na KÙ.BABBAR ṣa-ru-pá-am i-ṣé-er en-na-nim DUMU a-zu-a e-la-ma i-šu ITU.1.KAM ša ke-na-tim li-mu-um ša qá-tí a-šùr-SIG₅ DUMU a-bar-sí-sí-im ḫa-muš-tum ša a-šur-mì-tí DUMU a-ta-a 0.6666 ma-na.TA i-na ša-tim i-ša-qal šu-ma lá iš-qúl 1.5 GÍN.TA ṣí-ib-tám a-na 1 ma-na-im i ITU.1.KAM ú-ṣa-áb IGI e-na-a-nim IGI la-qé-pì-im a-na 11 TÚG ku-ta-ni a-mur-IŠTAR,ša 2 ma-na KÙ BABBAR ṣa-ru-pá-am i-ṣé-er en-na-nim DUMU a-zu-a e-la-ma i-šu ITU 1 KAM ša ke-na-tim li-mu-um ša qá-tí a-šùr-SIG5 DUMU a-bar-sí-sí-im ha-muš-tum ša a-šur-mì-tí DUMU a-ta-a 0 6666 ma-na TA i-na ša-tim i-ša-qal šu-ma lá iš-qúl 1 5 GÍN TA ṣí-ib-tám a-na 1 ma-na-im i ITU 1 KAM ú-ṣa-áb IGI e-na-a-nim IGI la-qé-pì-im a-na 11 TÚG ku-ta-ni a-mur-IŠTAR,,,1,51,marker_search,1,0,ša,ša,1,train,gold_sentence_pair_from_markers,1.0
1,f352e4ba-65ff-43bf-88ce-8e3e073943be,0e356157-5770-4db1-9936-67bf480e963e,23,5.0,ù,ù,,,52,52,marker_search,52,0,warḫum,warhum,1,train,gold_sentence_pair_from_markers,1.0
2,f352e4ba-65ff-43bf-88ce-8e3e073943be,e814d506-5a41-447c-8fb4-7a66cc6ffcff,29,6.0,ù,ù,,,52,52,marker_search,52,0,līmum,līmum,1,train,gold_sentence_pair_from_markers,1.0
3,f352e4ba-65ff-43bf-88ce-8e3e073943be,db0278d6-e6e3-4f21-80ca-918e18abf421,41,8.0,ù,ù,,,52,52,marker_search,52,0,ḫamuštum,hamuštum,1,train,gold_sentence_pair_from_markers,1.0
4,f352e4ba-65ff-43bf-88ce-8e3e073943be,e449582d-b15e-41f0-8404-2b97bb87f211,52,9.0,ù,ù,,,52,52,marker_search,52,0,manā,manā,1,train,gold_sentence_pair_from_markers,1.0
5,f352e4ba-65ff-43bf-88ce-8e3e073943be,83737a78-47a2-45d7-9cd4-0318eac3f7d0,60,11.0,ù,ù,,,52,52,marker_search,52,0,šumma,šumma,1,train,gold_sentence_pair_from_markers,1.0
6,f352e4ba-65ff-43bf-88ce-8e3e073943be,f0ea2958-430e-415d-b5cf-4148b4ea1d2e,82,14.0,ù,ù,,,52,52,marker_search,52,0,maḫar,mahar,1,train,gold_sentence_pair_from_markers,1.0
7,f352e4ba-65ff-43bf-88ce-8e3e073943be,0d048acb-aa18-418e-a2a3-379774f6657c,127,29.0,ù a-la-ḫi-im a-na e-la-ma a-šùr-la-ma-sí a-na ITU.5.KAM ú-kà-an šu-ma lá uk-ta-in-šu-nu 0.3333 ma-na 5 GÍN.TA KÙ.BABBAR ṣa-ru-pá-am a-na e-lá-ma a-šùr-la-ma-sí i-ša-qal ITU.1.KAM ṣí-ip-um li-mu-um PUZUR₄-{d}MU IGI a-bu-sa-lim DUMU i-dí-ìr-ra IGI i-dí-a-šùr DUMU pu-ur-sí-sí-im,ù a-la-hi-im a-na e-la-ma a-šùr-la-ma-sí a-na ITU 5 KAM ú-kà-an šu-ma lá uk-ta-in-šu-nu 0 3333 ma-na 5 GÍN TA KÙ BABBAR ṣa-ru-pá-am a-na e-lá-ma a-šùr-la-ma-sí i-ša-qal ITU 1 KAM ṣí-ip-um li-mu-um PUZUR4-{d}MU IGI a-bu-sa-lim DUMU i-dí-ìr-ra IGI i-dí-a-šùr DUMU pu-ur-sí-sí-im,,,52,84,marker_search,52,0,maḫar,mahar,1,train,gold_sentence_pair_from_markers,1.0
8,7446a8ba-6379-4450-91de-581a7fe38565,dcb07251-9fd2-47bc-86bc-833c09809c06,63,11.0,ù en-um-a-šur a-ḫi-šu li-ip-it-IŠTAR i-šu a-na MU.5.ŠÈ i-ša-qú-lu šu-ma lá iš-qú-lu 1.5 ma-na.TA i-na ITU.KAM-im ṣí-ib-tám ú-ṣú-bu i-ku-pì-a-šur DUMU ḫi-na-a qá-ta-tum ITU.KAM ṣí-ip-im li-mu-um bu-zu-ta-a,ù en-um-a-šur a-hi-šu li-ip-it-IŠTAR i-šu a-na MU 5 ŠÈ i-ša-qú-lu šu-ma lá iš-qú-lu 1 5 ma-na TA i-na ITU KAM-im ṣí-ib-tám ú-ṣú-bu i-ku-pì-a-šur DUMU hi-na-a qá-ta-tum ITU KAM ṣí-ip-im li-mu-um bu-zu-ta-a,,,80,104,marker_search,80,0,šumma,šumma,1,train,gold_sentence_pair_from_markers,1.0
9,17eabcc2-84f1-4fb0-b151-af6331cb4d17,9bae4196-2e57-4fa2-bfd6-1b8aeba53d1b,11,4.0,DINGIR-na-da 1 GÍN.TA ṣí-ib-tám i ITU.1.KAM ú-ṣa-áb,DINGIR-na-da 1 GÍN TA ṣí-ib-tám i ITU 1 KAM ú-ṣa-áb,,,12,18,first_word_obj_fallback,12,0,Elamma,Elamma,0,train,gold_sentence_pair_from_markers,1.0
10,17eabcc2-84f1-4fb0-b151-af6331cb4d17,abc03233-7a4e-4187-b076-7361f309da16,16,5.0,ITU.1.KAM bé-el-tí-É.GAL-lim li-mu-um PUZUR₄-{d}MUŠ IGI {d}IM-pì-lá-aḫ IGI en-um-a-šur DUMU,ITU 1 KAM bé-el-tí-É GAL-lim li-mu-um PUZUR4-{d}MUŠ IGI {d}IM-pì-lá-ah IGI en-um-a-šur DUMU,,,19,27,first_word_obj_fallback,19,0,ḫamuštem,hamuštem,0,train,gold_sentence_pair_from_markers,1.0
11,17eabcc2-84f1-4fb0-b151-af6331cb4d17,691a132e-8ddd-4fde-b578-2f4b19e87be4,29,9.0,PUZUR₄-a-šur,PUZUR4-a-šur,,,28,28,first_word_obj_fallback,28,0,warḫum,warhum,0,train,gold_sentence_pair_from_markers,1.0
12,9298628f-c336-4602-a716-deb96f7802a7,406a6c26-ed0e-4974-843e-cde9fa52e301,3,1.0,PUZUR₄-a-bé-eḫ a-lá-ḫa-am a-ḫu-šu a-na e-lá-ma ú-kà-a-an šu-ma lá ú-kà-i-in KÙ.BABBAR 0.5 ma-na šu-li a-na e-lá-ma i-ša-qal iš-tù,PUZUR4-a-bé-eh a-lá-ha-am a-hu-šu a-na e-lá-ma ú-kà-a-an šu-ma lá ú-kà-i-in KÙ BABBAR 0 5 ma-na šu-li a-na e-lá-ma i-ša-qal iš-tù,,,6,22,first_word_obj_fallback,6,0,kutānam,kutānam,0,train,gold_sentence_pair_from_markers,1.0
13,9298628f-c336-4602-a716-deb96f7802a7,cef5c319-d146-426e-b8b1-7383525a6801,21,4.0,ḫa-mu-uš-tim ša a-šùr-ma-lik ṣa-lá-mì-im ki-ma a-wa-at kà-ri-im a-na 1 ma-na-e-em ṣí-ib-tám ú-ṣa-áb lí-mu-um ša qá-té ba-zi-a,ha-mu-uš-tim ša a-šùr-ma-lik ṣa-lá-mì-im ki-ma a-wa-at kà-ri-im a-na 1 ma-na-e-em ṣí-ib-tám ú-ṣa-áb lí-mu-um ša qá-té ba-zi-a,,,23,38,first_word_obj_fallback,23,0,šumma,šumma,0,train,gold_sentence_pair_from_markers,1.0
14,9298628f-c336-4602-a716-deb96f7802a7,bd73887e-8526-4cf4-866b-31d04cfcef41,37,8.0,DUMU šé-pá-lim ITU.KAM na-ar-ma-ak-a-šur ša ki-na-tim IGI ir-ma-a-šùr IGI na-ar-me-a IGI en-nam-{d}IŠKUR IGI,DUMU šé-pá-lim ITU KAM na-ar-ma-ak-a-šur ša ki-na-tim IGI ir-ma-a-šùr IGI na-ar-me-a IGI en-nam-{d}IŠKUR IGI,,,39,51,first_word_obj_fallback,39,0,ištu,ištu,0,train,gold_sentence_pair_from_markers,1.0
15,9298628f-c336-4602-a716-deb96f7802a7,fa8700da-8b9f-41a8-a97b-c08bf3490550,61,15.0,ri-ma-nim,ri-ma-nim,,,52,52,first_word_obj_fallback,52,0,līmum,līmum,0,train,gold_sentence_pair_from_markers,1.0
16,9298628f-c336-4602-a716-deb96f7802a7,a6148a3a-daa8-4b18-894c-bdf204a1c121,73,17.0,ri-ma-nim,ri-ma-nim,,,52,52,first_word_obj_fallback,52,0,warḫum,warhum,0,train,gold_sentence_pair_from_markers,1.0
17,93fde8dd-5a59-410d-839f-be47069faa71,7bd092d5-376d-41a2-b2ea-1d3e76342f8a,83,16.0,9 ma-na URUDU iš-tí ib-ni-{d}IŠKUR ma-za-zi-im 20 ma-na URUDU,9 ma-na URUDU iš-tí ib-ni-{d}IŠKUR ma-za-zi-im 20 ma-na URUDU,,,85,93,first_word_obj_fallback,85,0,līmum,līmum,0,train,gold_sentence_pair_from_markers,1.0
18,93fde8dd-5a59-410d-839f-be47069faa71,80cdc727-c4cc-41ba-b67a-ca0fcc7a77ab,92,17.0,iš-tí šu-be-lim DUMU da-a-a 0.6666 ma-na KÙ.BABBAR be-ú-lá-at a-šur-SIPA DUMU i-dí-IŠTAR,iš-tí šu-be-lim DUMU da-a-a 0 6666 ma-na KÙ BABBAR be-ú-lá-at a-šur-SIPA DUMU i-dí-IŠTAR,,,94,104,first_word_obj_fallback,94,0,kaspam,kaspam,0,train,gold_sentence_pair_from_markers,1.0
19,4cce0418-d5ac-4331-9793-a99d9efe2fce,c344111c-0898-4f91-a13a-372123abcf82,7,2.0,iš-tù,iš-tù,,,10,10,first_word_obj_fallback,10,0,,,0,train,gold_sentence_pair_from_markers,1.0
20,4cce0418-d5ac-4331-9793-a99d9efe2fce,7a196281-052d-49e3-9515-cbc58a98344a,18,5.0,iš-tù ḫa-IR-uš-tim ša e-dí-na-a a-na 15 ḫa-am-ša-tim i-ša-qal šu-ma lá ìš-qúl ki-ma a-wa-at kà-ri-im ú-ṣa-áb ITU.KAM qá-ra-a-tim li-mu-um e-lá-lí DUMU i-ku-nim IGI pí-lá-aḫ-a-šur DUMU da-nu-um-ì-lí IGI a-šur-ma-lik DUMU,iš-tù ha-IR-uš-tim ša e-dí-na-a a-na 15 ha-am-ša-tim i-ša-qal šu-ma lá ìš-qúl ki-ma a-wa-at kà-ri-im ú-ṣa-áb ITU KAM qá-ra-a-tim li-mu-um e-lá-lí DUMU i-ku-nim IGI pí-lá-ah-a-šur DUMU da-nu-um-ì-lí IGI a-šur-ma-lik DUMU,,,10,37,marker_search,10,0,ištu,ištu,0,train,gold_sentence_pair_from_markers,1.0
21,4cce0418-d5ac-4331-9793-a99d9efe2fce,e007538b-bdc7-4185-936c-a6c8a65bc89f,37,11.0,a-zu-za,a-zu-za,,,38,38,first_word_obj_fallback,38,0,uṣṣab,uṣṣab,0,train,gold_sentence_pair_from_markers,1.0
22,4cce0418-d5ac-4331-9793-a99d9efe2fce,ce9b29e6-b55c-4db0-8b51-f3ac1383d7a8,48,15.0,a-zu-za,a-zu-za,,,38,38,first_word_obj_fallback,38,0,maḫar,mahar,0,train,gold_sentence_pair_from_markers,1.0
23,4d3941a4-d04e-439f-ba7f-734e0b5f8154,d573882a-c468-40c9-a998-79e35ee58186,6,1.0,iš-tù ḫa-muš-tim ša a-mur-a-šur ITU.KAM ša ke-na-tim li-mu-um ša qá-tí i-na-a a-na ša-na-at ta-ša-qal šu-ma i-ma-lá u₄-me-ša lá ta-áš-qú-ul ki-ma a-wa-at kà-ri-im ṣí-ib-tám tù-ṣa-áb IGI i-dí-a-bi₄-im,iš-tù ha-muš-tim ša a-mur-a-šur ITU KAM ša ke-na-tim li-mu-um ša qá-tí i-na-a a-na ša-na-at ta-ša-qal šu-ma i-ma-lá u4-me-ša lá ta-áš-qú-ul ki-ma a-wa-at kà-ri-im ṣí-ib-tám tù-ṣa-áb IGI i-dí-a-bi4-im,,,8,33,first_word_obj_fallback,8,0,kaspam,kaspam,0,train,gold_sentence_pair_from_markers,1.0
24,03afa072-8f71-4403-b303-086f6097db3f,9cec9f4b-3f9e-4a39-b69d-4b2b35d50ce2,3,1.0,i-šu ITU.KAM a-lá-na-tim a-na ITU.KAM i-ša-qal šu-ma lá iš-qúl 0.3333,i-šu ITU KAM a-lá-na-tim a-na ITU KAM i-ša-qal šu-ma lá iš-qúl 0 3333,,,7,16,first_word_obj_fallback,7,0,šiqil,šiqil,0,train,gold_sentence_pair_from_markers,1.0
25,03afa072-8f71-4403-b303-086f6097db3f,9b6e0aee-56f9-42e3-bf3b-dfd0f528006a,15,4.0,GÍN.TA i-na ITU.KAM ú-ṣa-áb li-mu-um a-šùr-na-da ḫa-mu-uš-tum ša,GÍN TA i-na ITU KAM ú-ṣa-áb li-mu-um a-šùr-na-da ha-mu-uš-tum ša,,,17,24,first_word_obj_fallback,17,0,warḫum,warhum,0,train,gold_sentence_pair_from_markers,1.0
26,03afa072-8f71-4403-b303-086f6097db3f,5bb9fe4d-6849-401b-8899-5e015512de9a,23,7.0,qá-té kà-ar-wa-a IGI,qá-té kà-ar-wa-a IGI,,,25,27,first_word_obj_fallback,25,0,šumma,šumma,0,train,gold_sentence_pair_from_markers,1.0
27,03afa072-8f71-4403-b303-086f6097db3f,08e0f8e8-942e-480a-aa95-45f534817526,38,10.0,a-šur-i-dí,a-šur-i-dí,,,28,28,first_word_obj_fallback,28,0,līmum,līmum,0,train,gold_sentence_pair_from_markers,1.0
28,03afa072-8f71-4403-b303-086f6097db3f,16c30de1-0f19-4ea0-9a30-8a1358e83559,42,12.0,a-šur-i-dí,a-šur-i-dí,,,28,28,first_word_obj_fallback,28,0,ḫamuštum,hamuštum,0,train,gold_sentence_pair_from_markers,1.0
29,03afa072-8f71-4403-b303-086f6097db3f,5e2e45fb-19b6-4820-a4ad-c00ede1164f5,51,15.0,a-šur-i-dí,a-šur-i-dí,,,28,28,first_word_obj_fallback,28,0,maḫar,mahar,0,train,gold_sentence_pair_from_markers,1.0
30,a1d9a827-0894-4474-9075-9cf1ebbb9d43,11cd1e03-187c-4ecf-8afa-977a220cb1ce,14,4.0,ù,ù,,,15,15,marker_search,15,0,Šu-Bēlum,Šu-Bēlum,1,train,gold_sentence_pair_from_markers,1.0
31,a1d9a827-0894-4474-9075-9cf1ebbb9d43,b4d7e5d3-cdc7-47ad-be45-4d1bf27b36f0,47,17.0,ù e-me-me a-na ITU.KAM i-ša-qal šu-ma i-na ú-mì-šu ma-al-ú-tim lá iš-qúl 22.5 ŠE KÙ.BABBAR i-na ITU.KAM ú-ṣa-áb li-mu-um a-šur-na-da IGI a-šur-i-dí,ù e-me-me a-na ITU KAM i-ša-qal šu-ma i-na ú-mì-šu ma-al-ú-tim lá iš-qúl 22 5 ŠE KÙ BABBAR i-na ITU KAM ú-ṣa-áb li-mu-um a-šur-na-da IGI a-šur-i-dí,,,15,35,marker_search,15,0,maḫar,mahar,1,train,gold_sentence_pair_from_markers,1.0
32,c3b4e17f-2e5f-4e77-aff2-9f0af73c846b,6ff65467-806e-4459-968b-c5c155325ec1,3,1.0,ú,ú,,,26,26,marker_search,26,0,kunuk,kunuk,1,train,gold_sentence_pair_from_markers,1.0
